tournament_size,media_ganho_guloso,media_tempo_execucao
3,-0.256,0.020490097999572753
5,-0.739,0.024021518230438233
10,-0.6214999999999999,0.024043774604797362
15,-1.6955,0.021671199798583986
20,-1.8825,0.01941765546798706
25,-0.805,0.020719456672668456
30,-1.2915,0.02060009241104126
35,-1.9589999999999999,0.02181974649429321
40,-2.014,0.023070883750915528
45,-1.818,0.022374498844146728
50,-1.1955,0.023871517181396483
55,-1.8699999999999999,0.021489274501800538
60,-2.5605,0.021994948387145996
65,-1.3485,0.022524762153625488
70,-1.8,0.020868778228759766
75,-1.536,0.02029341459274292
80,-1.2035,0.02172015905380249
85,-1.895,0.02205846309661865
90,-1.9005,0.02295008897781372
95,-1.331,0.024615514278411865
