excution_number,best_genes,best_fitness
1,"[9, 0, 4, 2, 1, 3, 5, 8, 7, 6]",3879
2,"[7, 1, 3, 5, 8, 2, 9, 0, 4, 6]",2934
3,"[0, 6, 7, 4, 9, 8, 3, 1, 5, 2]",3208
4,"[3, 1, 0, 6, 5, 2, 9, 7, 8, 4]",3523
5,"[2, 1, 8, 6, 0, 3, 4, 7, 5, 9]",3485
6,"[7, 0, 6, 3, 5, 4, 1, 9, 8, 2]",2550
7,"[3, 1, 8, 6, 2, 7, 5, 4, 9, 0]",4053
8,"[4, 3, 2, 6, 0, 1, 8, 7, 9, 5]",2749
9,"[9, 0, 5, 3, 1, 4, 6, 2, 7, 8]",2205
10,"[7, 9, 1, 5, 3, 0, 8, 2, 4, 6]",2375
