excution_number,best_genes,best_fitness
1,"[9, 0, 4, 6, 3, 5, 8, 7, 2, 1]",3066
2,"[9, 6, 8, 7, 4, 2, 1, 5, 3, 0]",3334
3,"[6, 4, 2, 7, 5, 1, 9, 8, 3, 0]",2869
4,"[8, 4, 9, 0, 7, 6, 5, 3, 2, 1]",4307
5,"[2, 6, 7, 1, 4, 0, 9, 8, 3, 5]",3794
6,"[5, 8, 7, 0, 1, 4, 9, 2, 3, 6]",3426
7,"[4, 7, 6, 0, 5, 1, 2, 9, 8, 3]",3405
8,"[1, 0, 9, 5, 8, 6, 3, 4, 2, 7]",2533
9,"[3, 1, 8, 0, 9, 5, 6, 4, 7, 2]",2713
10,"[0, 4, 5, 7, 1, 8, 3, 6, 2, 9]",3220
