excution_number,best_genes,best_fitness
1,"[6, 0, 2, 3, 4, 1, 9, 5, 8, 7]",3046
2,"[7, 8, 2, 4, 5, 0, 3, 9, 6, 1]",3654
3,"[2, 0, 4, 6, 5, 3, 7, 1, 8, 9]",3214
4,"[2, 0, 3, 4, 6, 1, 5, 9, 7, 8]",2396
5,"[1, 5, 2, 3, 4, 0, 8, 7, 6, 9]",3406
6,"[4, 2, 1, 7, 0, 9, 5, 6, 3, 8]",2830
7,"[6, 1, 0, 2, 4, 8, 5, 3, 7, 9]",3841
8,"[3, 9, 4, 0, 1, 5, 6, 2, 7, 8]",3430
9,"[8, 5, 4, 0, 6, 9, 1, 2, 7, 3]",2716
10,"[3, 7, 6, 0, 5, 4, 1, 8, 2, 9]",3335
