excution_number,best_genes,best_fitness
1,"[9, 0, 7, 5, 1, 3, 8, 4, 2, 6]",3258
2,"[1, 0, 9, 8, 6, 2, 3, 7, 4, 5]",3290
3,"[4, 8, 1, 3, 6, 5, 9, 2, 0, 7]",2947
4,"[7, 9, 2, 3, 4, 5, 1, 0, 8, 6]",4252
5,"[1, 2, 5, 8, 4, 6, 7, 0, 3, 9]",3967
6,"[9, 7, 5, 4, 3, 0, 6, 1, 8, 2]",3382
7,"[7, 2, 1, 5, 3, 9, 6, 8, 4, 0]",3444
8,"[0, 1, 9, 4, 2, 3, 7, 8, 5, 6]",2543
9,"[9, 4, 3, 0, 6, 1, 5, 8, 2, 7]",2876
10,"[6, 8, 0, 2, 7, 4, 9, 5, 1, 3]",3228
