excution_number,best_genes,best_fitness
1,"[6, 1, 9, 8, 4, 0, 2, 5, 3, 7]",3042
2,"[6, 7, 0, 1, 8, 5, 3, 9, 2, 4]",3710
3,"[7, 6, 1, 3, 5, 0, 2, 8, 9, 4]",3194
4,"[6, 2, 0, 3, 8, 4, 9, 5, 7, 1]",2371
5,"[4, 2, 1, 0, 3, 6, 8, 5, 7, 9]",3269
6,"[9, 2, 3, 7, 0, 1, 5, 6, 4, 8]",2854
7,"[0, 7, 1, 3, 5, 8, 6, 2, 4, 9]",3775
8,"[7, 4, 5, 0, 2, 9, 8, 1, 3, 6]",3396
9,"[8, 5, 4, 0, 6, 9, 1, 2, 7, 3]",2716
10,"[3, 1, 0, 5, 6, 2, 7, 8, 4, 9]",3405
