excution_number,best_genes,best_fitness
1,"[7, 5, 6, 2, 9, 1, 0, 3, 4, 8]",3829
2,"[8, 3, 4, 6, 1, 5, 9, 7, 2, 0]",2989
3,"[6, 1, 0, 9, 7, 3, 4, 5, 8, 2]",3185
4,"[7, 0, 6, 1, 9, 8, 4, 3, 2, 5]",3451
5,"[5, 7, 8, 6, 3, 2, 1, 0, 9, 4]",3500
6,"[6, 9, 0, 7, 4, 2, 1, 5, 3, 8]",2587
7,"[4, 1, 7, 6, 0, 8, 3, 2, 9, 5]",4116
8,"[4, 1, 3, 6, 9, 5, 2, 8, 7, 0]",2772
9,"[5, 9, 4, 3, 1, 0, 6, 2, 7, 8]",2238
10,"[6, 7, 1, 4, 0, 3, 2, 5, 8, 9]",2549
