excution_number,best_genes,best_fitness
1,"[8, 2, 0, 6, 5, 1, 3, 7, 4, 9]",4147
2,"[3, 2, 0, 1, 4, 6, 8, 7, 5, 9]",3101
3,"[8, 1, 6, 3, 0, 4, 2, 7, 5, 9]",2831
4,"[3, 6, 1, 8, 4, 9, 5, 2, 0, 7]",3714
5,"[8, 4, 3, 1, 0, 2, 7, 5, 9, 6]",3982
6,"[5, 0, 2, 1, 3, 8, 4, 7, 6, 9]",3744
7,"[3, 0, 4, 5, 2, 1, 7, 9, 6, 8]",3429
8,"[2, 6, 1, 0, 4, 7, 3, 5, 8, 9]",3260
9,"[8, 4, 9, 0, 6, 2, 5, 1, 3, 7]",3795
10,"[6, 2, 0, 3, 4, 5, 7, 9, 1, 8]",4073
11,"[3, 2, 1, 7, 6, 0, 8, 9, 5, 4]",3760
12,"[4, 1, 6, 0, 3, 5, 2, 9, 8, 7]",3793
13,"[7, 2, 0, 3, 4, 1, 6, 9, 8, 5]",3440
14,"[9, 2, 0, 3, 1, 7, 4, 5, 8, 6]",3218
15,"[6, 7, 4, 2, 0, 3, 1, 5, 9, 8]",2407
16,"[6, 4, 0, 3, 8, 7, 1, 2, 5, 9]",3081
17,"[1, 9, 8, 3, 2, 0, 5, 7, 4, 6]",3464
18,"[2, 1, 7, 8, 3, 0, 4, 5, 6, 9]",2816
19,"[0, 2, 1, 3, 4, 6, 5, 9, 7, 8]",3952
20,"[4, 2, 1, 5, 0, 8, 9, 3, 6, 7]",3593
